lakeid,year4,sample_date,station,species_code,species_name,density,individuals_measured,avg_length
"CB",2004,2004-02-27 00:00:00,1,20000,"CYCLOPOID",0.60,,
"CB",2004,2004-02-27 00:00:00,1,50700,"BOSMINIDAE",15.40,,
"CB",2004,2004-02-27 00:00:00,1,60200,"ASCOMORPHA",305.80,,
"CB",2004,2004-02-27 00:00:00,1,60400,"BRACHIONUS",0.60,,
"CB",2004,2004-02-27 00:00:00,1,61502,"GASTROPUS STYLIFER",15.10,,
"CB",2004,2004-02-27 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",45.40,,
"CB",2004,2004-02-27 00:00:00,1,61805,"KERATELLA HIEMALIS",154.60,,
"CB",2004,2004-02-27 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",85.10,,
"CB",2004,2004-02-27 00:00:00,1,61810,"KERATELLA TICINENSIS",0.60,,
"CB",2004,2004-02-27 00:00:00,1,63004,"POLYARTHRA REMATA",43.10,,
"CB",2004,2004-02-27 00:00:00,1,88888,"UNKNOWN ROTIFER",1.10,,
"CB",2004,2004-04-28 00:00:00,1,10000,"COPEPOD NAUPLII",13.40,,
"CB",2004,2004-04-28 00:00:00,1,20601,"MESOCYCLOPS EDAX",2.20,,
"CB",2004,2004-04-28 00:00:00,1,50700,"BOSMINIDAE",0.60,,
"CB",2004,2004-04-28 00:00:00,1,60203,"ASCOMORPHA SALTANS",7.80,,
"CB",2004,2004-04-28 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",8.10,,
"CB",2004,2004-04-28 00:00:00,1,61805,"KERATELLA HIEMALIS",23.50,,
"CB",2004,2004-04-28 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",0.80,,
"CB",2004,2004-04-28 00:00:00,1,61810,"KERATELLA TICINENSIS",2.20,,
"CB",2004,2004-04-28 00:00:00,1,62400,"MONOSTYLA",0.60,,
"CB",2004,2004-04-28 00:00:00,1,63004,"POLYARTHRA REMATA",0.30,,
"CB",2004,2004-04-28 00:00:00,1,63400,"SYNCHAETA",17.10,,
"CB",2004,2004-05-27 00:00:00,1,10000,"COPEPOD NAUPLII",68.90,,
"CB",2004,2004-05-27 00:00:00,1,20000,"CYCLOPOID",10.90,,
"CB",2004,2004-05-27 00:00:00,1,20601,"MESOCYCLOPS EDAX",6.50,,
"CB",2004,2004-05-27 00:00:00,1,50700,"BOSMINIDAE",4.20,,
"CB",2004,2004-05-27 00:00:00,1,51801,"HOLOPEDIUM GIBBERUM",0.30,,
"CB",2004,2004-05-27 00:00:00,1,60200,"ASCOMORPHA",4.50,,
"CB",2004,2004-05-27 00:00:00,1,61502,"GASTROPUS STYLIFER",19.00,,
"CB",2004,2004-05-27 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",422.80,,
"CB",2004,2004-05-27 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",136.10,,
"CB",2004,2004-05-27 00:00:00,1,61810,"KERATELLA TICINENSIS",42.00,,
"CB",2004,2004-05-27 00:00:00,1,61911,"LECANE MIRA",0.60,,
"CB",2004,2004-05-27 00:00:00,1,62201,"MANFREDIUM EUDACTYLOTUM",0.60,,
"CB",2004,2004-05-27 00:00:00,1,62406,"MONOSTYLA LUNARIS",1.70,,
"CB",2004,2004-05-27 00:00:00,1,62902,"PLOESOMA LENTICULARE",0.60,,
"CB",2004,2004-05-27 00:00:00,1,63004,"POLYARTHRA REMATA",640.10,,
"CB",2004,2004-05-27 00:00:00,1,63005,"POLYARTHRA VULGARIS",151.80,,
"CB",2004,2004-05-27 00:00:00,1,63400,"SYNCHAETA",39.80,,
"CB",2004,2004-05-27 00:00:00,1,63602,"TRICHOCERCA BIROSTRIS",1.10,,
"CB",2004,2004-05-27 00:00:00,1,88888,"UNKNOWN ROTIFER",7.30,,
"CB",2004,2004-06-23 00:00:00,1,10000,"COPEPOD NAUPLII",134.40,,
"CB",2004,2004-06-23 00:00:00,1,20000,"CYCLOPOID",12.20,,
"CB",2004,2004-06-23 00:00:00,1,20601,"MESOCYCLOPS EDAX",11.20,,
"CB",2004,2004-06-23 00:00:00,1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",0.60,,
"CB",2004,2004-06-23 00:00:00,1,50700,"BOSMINIDAE",118.20,,
"CB",2004,2004-06-23 00:00:00,1,51130,"DAPHNIA PULICARIA",0.60,,
"CB",2004,2004-06-23 00:00:00,1,51801,"HOLOPEDIUM GIBBERUM",2.20,,
"CB",2004,2004-06-23 00:00:00,1,60200,"ASCOMORPHA",22.40,,
"CB",2004,2004-06-23 00:00:00,1,60800,"CONOCHILOIDES",33.60,,
"CB",2004,2004-06-23 00:00:00,1,61502,"GASTROPUS STYLIFER",42.00,,
"CB",2004,2004-06-23 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",277.20,,
"CB",2004,2004-06-23 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",344.40,,
"CB",2004,2004-06-23 00:00:00,1,61810,"KERATELLA TICINENSIS",991.20,,
"CB",2004,2004-06-23 00:00:00,1,62407,"MONOSTYLA OBTUSA",2.80,,
"CB",2004,2004-06-23 00:00:00,1,63004,"POLYARTHRA REMATA",285.60,,
"CB",2004,2004-06-23 00:00:00,1,63005,"POLYARTHRA VULGARIS",210.00,,
"CB",2004,2004-06-23 00:00:00,1,63400,"SYNCHAETA",11.20,,
"CB",2004,2004-06-23 00:00:00,1,63602,"TRICHOCERCA BIROSTRIS",19.60,,
"CB",2004,2004-07-20 00:00:00,1,10000,"COPEPOD NAUPLII",54.90,,
"CB",2004,2004-07-20 00:00:00,1,20000,"CYCLOPOID",0.60,,
"CB",2004,2004-07-20 00:00:00,1,20302,"DIACYCLOPS THOMASI",0.30,,
"CB",2004,2004-07-20 00:00:00,1,20601,"MESOCYCLOPS EDAX",26.00,,
"CB",2004,2004-07-20 00:00:00,1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",1.20,,
"CB",2004,2004-07-20 00:00:00,1,50700,"BOSMINIDAE",27.20,,
"CB",2004,2004-07-20 00:00:00,1,51130,"DAPHNIA PULICARIA",0.30,,
"CB",2004,2004-07-20 00:00:00,1,51801,"HOLOPEDIUM GIBBERUM",6.70,,
"CB",2004,2004-07-20 00:00:00,1,61502,"GASTROPUS STYLIFER",5.60,,
"CB",2004,2004-07-20 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",35.30,,
"CB",2004,2004-07-20 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",163.50,,
"CB",2004,2004-07-20 00:00:00,1,61810,"KERATELLA TICINENSIS",0.60,,
"CB",2004,2004-07-20 00:00:00,1,62406,"MONOSTYLA LUNARIS",0.60,,
"CB",2004,2004-07-20 00:00:00,1,63004,"POLYARTHRA REMATA",17.90,,
"CB",2004,2004-07-20 00:00:00,1,63005,"POLYARTHRA VULGARIS",61.60,,
"CB",2004,2004-07-20 00:00:00,1,63602,"TRICHOCERCA BIROSTRIS",12.90,,
"CB",2004,2004-07-20 00:00:00,1,63612,"TRICHOCERCA MULTICRINIS",0.60,,
"CB",2004,2004-08-18 00:00:00,1,10000,"COPEPOD NAUPLII",59.40,,
"CB",2004,2004-08-18 00:00:00,1,20601,"MESOCYCLOPS EDAX",6.70,,
"CB",2004,2004-08-18 00:00:00,1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",14.60,,
"CB",2004,2004-08-18 00:00:00,1,50700,"BOSMINIDAE",1.40,,
"CB",2004,2004-08-18 00:00:00,1,51000,"CHYDORUS",0.60,,
"CB",2004,2004-08-18 00:00:00,1,51130,"DAPHNIA PULICARIA",0.80,,
"CB",2004,2004-08-18 00:00:00,1,51801,"HOLOPEDIUM GIBBERUM",8.10,,
"CB",2004,2004-08-18 00:00:00,1,61502,"GASTROPUS STYLIFER",35.60,,
"CB",2004,2004-08-18 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",1.70,,
"CB",2004,2004-08-18 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",17.90,,
"CB",2004,2004-08-18 00:00:00,1,61900,"LECANE",0.30,,
"CB",2004,2004-08-18 00:00:00,1,62406,"MONOSTYLA LUNARIS",1.10,,
"CB",2004,2004-08-18 00:00:00,1,63004,"POLYARTHRA REMATA",3.90,,
"CB",2004,2004-08-18 00:00:00,1,63005,"POLYARTHRA VULGARIS",13.70,,
"CB",2004,2004-08-18 00:00:00,1,63602,"TRICHOCERCA BIROSTRIS",13.70,,
"CB",2004,2004-08-18 00:00:00,1,63612,"TRICHOCERCA MULTICRINIS",0.30,,
"CB",2004,2004-08-18 00:00:00,1,88888,"UNKNOWN ROTIFER",0.80,,
"CB",2004,2004-09-14 00:00:00,1,10000,"COPEPOD NAUPLII",67.80,,
"CB",2004,2004-09-14 00:00:00,1,20302,"DIACYCLOPS THOMASI",0.30,,
"CB",2004,2004-09-14 00:00:00,1,20601,"MESOCYCLOPS EDAX",2.00,,
"CB",2004,2004-09-14 00:00:00,1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",24.40,,
"CB",2004,2004-09-14 00:00:00,1,50700,"BOSMINIDAE",1.10,,
"CB",2004,2004-09-14 00:00:00,1,51000,"CHYDORUS",0.30,,
"CB",2004,2004-09-14 00:00:00,1,51130,"DAPHNIA PULICARIA",2.20,,
"CB",2004,2004-09-14 00:00:00,1,51801,"HOLOPEDIUM GIBBERUM",4.20,,
"CB",2004,2004-09-14 00:00:00,1,60200,"ASCOMORPHA",26.30,,
"CB",2004,2004-09-14 00:00:00,1,61502,"GASTROPUS STYLIFER",11.20,,
"CB",2004,2004-09-14 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",143.90,,
"CB",2004,2004-09-14 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",14.60,,
"CB",2004,2004-09-14 00:00:00,1,61810,"KERATELLA TICINENSIS",0.60,,
"CB",2004,2004-09-14 00:00:00,1,63004,"POLYARTHRA REMATA",80.60,,
"CB",2004,2004-09-14 00:00:00,1,63005,"POLYARTHRA VULGARIS",42.60,,
"CB",2004,2004-09-14 00:00:00,1,63602,"TRICHOCERCA BIROSTRIS",79.50,,
"CB",2004,2004-09-14 00:00:00,1,63612,"TRICHOCERCA MULTICRINIS",4.50,,
"CB",2004,2004-10-13 00:00:00,1,10000,"COPEPOD NAUPLII",3.40,,
"CB",2004,2004-10-13 00:00:00,1,20601,"MESOCYCLOPS EDAX",0.60,,
"CB",2004,2004-10-13 00:00:00,1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",12.40,,
"CB",2004,2004-10-13 00:00:00,1,50700,"BOSMINIDAE",0.80,,
"CB",2004,2004-10-13 00:00:00,1,51130,"DAPHNIA PULICARIA",2.50,,
"CB",2004,2004-10-13 00:00:00,1,51801,"HOLOPEDIUM GIBBERUM",0.60,,
"CB",2004,2004-10-13 00:00:00,1,60202,"ASCOMORPHA OVALIS",1.10,,
"CB",2004,2004-10-13 00:00:00,1,61502,"GASTROPUS STYLIFER",2.80,,
"CB",2004,2004-10-13 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",97.40,,
"CB",2004,2004-10-13 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",15.10,,
"CB",2004,2004-10-13 00:00:00,1,62406,"MONOSTYLA LUNARIS",0.60,,
"CB",2004,2004-10-13 00:00:00,1,63004,"POLYARTHRA REMATA",26.30,,
"CB",2004,2004-10-13 00:00:00,1,63005,"POLYARTHRA VULGARIS",6.70,,
"CB",2004,2004-10-13 00:00:00,1,63400,"SYNCHAETA",0.60,,
"CB",2004,2004-10-13 00:00:00,1,63602,"TRICHOCERCA BIROSTRIS",27.40,,
"CB",2004,2004-11-08 00:00:00,1,10000,"COPEPOD NAUPLII",0.30,,
"CB",2004,2004-11-08 00:00:00,1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",0.90,,
"CB",2004,2004-11-08 00:00:00,1,50700,"BOSMINIDAE",0.30,,
"CB",2004,2004-11-08 00:00:00,1,51000,"CHYDORUS",0.60,,
"CB",2004,2004-11-08 00:00:00,1,51130,"DAPHNIA PULICARIA",0.30,,
"CB",2004,2004-11-08 00:00:00,1,51801,"HOLOPEDIUM GIBBERUM",0.30,,
"CB",2004,2004-11-08 00:00:00,1,61502,"GASTROPUS STYLIFER",3.90,,
"CB",2004,2004-11-08 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",9.20,,
"CB",2004,2004-11-08 00:00:00,1,61803,"KERATELLA CRASSA",0.30,,
"CB",2004,2004-11-08 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",4.50,,
"CB",2004,2004-11-08 00:00:00,1,62000,"LEPADELLA",0.30,,
"CB",2004,2004-11-08 00:00:00,1,63004,"POLYARTHRA REMATA",3.40,,
"CB",2004,2004-11-08 00:00:00,1,63005,"POLYARTHRA VULGARIS",9.00,,
"CB",2004,2004-11-08 00:00:00,1,63400,"SYNCHAETA",7.00,,
"CB",2004,2004-11-08 00:00:00,1,63602,"TRICHOCERCA BIROSTRIS",2.00,,
"CB",2004,2004-11-08 00:00:00,1,88888,"UNKNOWN ROTIFER",0.60,,
"CB",2005,2005-02-28 00:00:00,1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",0.30,,
"CB",2005,2005-02-28 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",1.40,,
"CB",2005,2005-02-28 00:00:00,1,61810,"KERATELLA TICINENSIS",0.80,,
"CB",2005,2005-02-28 00:00:00,1,88888,"UNKNOWN ROTIFER",8.70,,
"CB",2005,2005-04-18 00:00:00,1,10000,"COPEPOD NAUPLII",3.60,,
"CB",2005,2005-04-18 00:00:00,1,20601,"MESOCYCLOPS EDAX",4.80,,
"CB",2005,2005-04-18 00:00:00,1,51000,"CHYDORUS",1.10,,
"CB",2005,2005-04-18 00:00:00,1,51100,"DAPHNIA",0.30,,
"CB",2005,2005-04-18 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",0.30,,
"CB",2005,2005-04-18 00:00:00,1,63005,"POLYARTHRA VULGARIS",0.30,,
"CB",2005,2005-04-18 00:00:00,1,63400,"SYNCHAETA",1.40,,
"CB",2005,2005-04-18 00:00:00,1,88888,"UNKNOWN ROTIFER",5.60,,
"CB",2005,2005-05-17 00:00:00,1,10000,"COPEPOD NAUPLII",12.30,,
"CB",2005,2005-05-17 00:00:00,1,20000,"CYCLOPOID",2.80,,
"CB",2005,2005-05-17 00:00:00,1,20302,"DIACYCLOPS THOMASI",1.70,,
"CB",2005,2005-05-17 00:00:00,1,20601,"MESOCYCLOPS EDAX",0.80,,
"CB",2005,2005-05-17 00:00:00,1,51000,"CHYDORUS",0.60,,
"CB",2005,2005-05-17 00:00:00,1,51130,"DAPHNIA PULICARIA",0.60,,
"CB",2005,2005-05-17 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",5.00,,
"CB",2005,2005-05-17 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",0.60,,
"CB",2005,2005-05-17 00:00:00,1,63002,"POLYARTHRA EURYPTERA",0.60,,
"CB",2005,2005-05-17 00:00:00,1,63004,"POLYARTHRA REMATA",1.10,,
"CB",2005,2005-05-17 00:00:00,1,63005,"POLYARTHRA VULGARIS",72.20,,
"CB",2005,2005-05-17 00:00:00,1,63400,"SYNCHAETA",27.40,,
"CB",2005,2005-05-17 00:00:00,1,63602,"TRICHOCERCA BIROSTRIS",1.10,,
"CB",2005,2005-06-15 00:00:00,1,10000,"COPEPOD NAUPLII",47.00,,
"CB",2005,2005-06-15 00:00:00,1,20000,"CYCLOPOID",0.60,,
"CB",2005,2005-06-15 00:00:00,1,20302,"DIACYCLOPS THOMASI",0.30,,
"CB",2005,2005-06-15 00:00:00,1,20601,"MESOCYCLOPS EDAX",7.00,,
"CB",2005,2005-06-15 00:00:00,1,50700,"BOSMINIDAE",3.90,,
"CB",2005,2005-06-15 00:00:00,1,51000,"CHYDORUS",0.80,,
"CB",2005,2005-06-15 00:00:00,1,51130,"DAPHNIA PULICARIA",11.80,,
"CB",2005,2005-06-15 00:00:00,1,51801,"HOLOPEDIUM GIBBERUM",2.00,,
"CB",2005,2005-06-15 00:00:00,1,60800,"CONOCHILOIDES",11.80,,
"CB",2005,2005-06-15 00:00:00,1,61502,"GASTROPUS STYLIFER",2.20,,
"CB",2005,2005-06-15 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",63.80,,
"CB",2005,2005-06-15 00:00:00,1,61801,"KERATELLA COCHLEARIS",0.60,,
"CB",2005,2005-06-15 00:00:00,1,61805,"KERATELLA HIEMALIS",1.10,,
"CB",2005,2005-06-15 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",29.10,,
"CB",2005,2005-06-15 00:00:00,1,63004,"POLYARTHRA REMATA",16.80,,
"CB",2005,2005-06-15 00:00:00,1,63005,"POLYARTHRA VULGARIS",270.50,,
"CB",2005,2005-06-15 00:00:00,1,63400,"SYNCHAETA",1.10,,
"CB",2005,2005-06-15 00:00:00,1,63602,"TRICHOCERCA BIROSTRIS",10.60,,
"CB",2005,2005-07-13 00:00:00,1,10000,"COPEPOD NAUPLII",34.20,,
"CB",2005,2005-07-13 00:00:00,1,20601,"MESOCYCLOPS EDAX",13.50,,
"CB",2005,2005-07-13 00:00:00,1,51000,"CHYDORUS",0.30,,
"CB",2005,2005-07-13 00:00:00,1,51130,"DAPHNIA PULICARIA",1.70,,
"CB",2005,2005-07-13 00:00:00,1,61502,"GASTROPUS STYLIFER",20.20,,
"CB",2005,2005-07-13 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",65.00,,
"CB",2005,2005-07-13 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",23.50,,
"CB",2005,2005-07-13 00:00:00,1,61810,"KERATELLA TICINENSIS",0.60,,
"CB",2005,2005-07-13 00:00:00,1,63004,"POLYARTHRA REMATA",0.60,,
"CB",2005,2005-07-13 00:00:00,1,63005,"POLYARTHRA VULGARIS",7.80,,
"CB",2005,2005-07-13 00:00:00,1,63602,"TRICHOCERCA BIROSTRIS",1.10,,
"CB",2005,2005-08-09 00:00:00,1,10000,"COPEPOD NAUPLII",139.40,,
"CB",2005,2005-08-09 00:00:00,1,20302,"DIACYCLOPS THOMASI",0.60,,
"CB",2005,2005-08-09 00:00:00,1,20601,"MESOCYCLOPS EDAX",15.70,,
"CB",2005,2005-08-09 00:00:00,1,51000,"CHYDORUS",0.30,,
"CB",2005,2005-08-09 00:00:00,1,51130,"DAPHNIA PULICARIA",38.60,,
"CB",2005,2005-08-09 00:00:00,1,51801,"HOLOPEDIUM GIBBERUM",1.10,,
"CB",2005,2005-08-09 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",9.50,,
"CB",2005,2005-08-09 00:00:00,1,61801,"KERATELLA COCHLEARIS",1.70,,
"CB",2005,2005-08-09 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",109.20,,
"CB",2005,2005-08-09 00:00:00,1,63004,"POLYARTHRA REMATA",1.10,,
"CB",2005,2005-08-09 00:00:00,1,63005,"POLYARTHRA VULGARIS",7.80,,
"CB",2005,2005-08-09 00:00:00,1,63602,"TRICHOCERCA BIROSTRIS",1.70,,
"CB",2005,2005-09-07 00:00:00,1,10000,"COPEPOD NAUPLII",15.70,,
"CB",2005,2005-09-07 00:00:00,1,20601,"MESOCYCLOPS EDAX",13.60,,
"CB",2005,2005-09-07 00:00:00,1,51000,"CHYDORUS",0.80,,
"CB",2005,2005-09-07 00:00:00,1,51130,"DAPHNIA PULICARIA",15.10,,
"CB",2005,2005-09-07 00:00:00,1,51801,"HOLOPEDIUM GIBBERUM",0.30,,
"CB",2005,2005-09-07 00:00:00,1,61502,"GASTROPUS STYLIFER",12.30,,
"CB",2005,2005-09-07 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",26.30,,
"CB",2005,2005-09-07 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",84.00,,
"CB",2005,2005-09-07 00:00:00,1,63004,"POLYARTHRA REMATA",12.30,,
"CB",2005,2005-09-07 00:00:00,1,63005,"POLYARTHRA VULGARIS",7.80,,
"CB",2005,2005-09-07 00:00:00,1,63602,"TRICHOCERCA BIROSTRIS",15.10,,
"CB",2005,2005-10-06 00:00:00,1,10000,"COPEPOD NAUPLII",0.30,,
"CB",2005,2005-10-06 00:00:00,1,20601,"MESOCYCLOPS EDAX",5.10,,
"CB",2005,2005-10-06 00:00:00,1,50700,"BOSMINIDAE",0.30,,
"CB",2005,2005-10-06 00:00:00,1,51000,"CHYDORUS",0.30,,
"CB",2005,2005-10-06 00:00:00,1,51130,"DAPHNIA PULICARIA",32.50,,
"CB",2005,2005-10-06 00:00:00,1,51801,"HOLOPEDIUM GIBBERUM",0.80,,
"CB",2005,2005-10-06 00:00:00,1,60500,"CEPHALODELLA",0.60,,
"CB",2005,2005-10-06 00:00:00,1,61200,"ENCENTRUM",0.30,,
"CB",2005,2005-10-06 00:00:00,1,61300,"EUCHLANIS",0.30,,
"CB",2005,2005-10-06 00:00:00,1,61502,"GASTROPUS STYLIFER",0.80,,
"CB",2005,2005-10-06 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",4.20,,
"CB",2005,2005-10-06 00:00:00,1,61900,"LECANE",0.30,,
"CB",2005,2005-10-06 00:00:00,1,62400,"MONOSTYLA",0.80,,
"CB",2005,2005-10-06 00:00:00,1,63004,"POLYARTHRA REMATA",14.30,,
"CB",2005,2005-10-06 00:00:00,1,63005,"POLYARTHRA VULGARIS",53.80,,
"CB",2005,2005-10-06 00:00:00,1,63400,"SYNCHAETA",0.60,,
"CB",2005,2005-10-06 00:00:00,1,63602,"TRICHOCERCA BIROSTRIS",6.20,,
"CB",2005,2005-10-06 00:00:00,1,63603,"TRICHOCERCA CYLINDRICA",0.60,,
