lakeid,year4,daynum,sampledate,rep,sta,depth,chlor,phaeo,flagchlor,flagphaeo
"CB",2005,12,2005-01-12,1,1,0.00,242.3,55.4,,
"CB",2005,12,2005-01-12,1,1,1.00,51.2,20.1,,
"CB",2005,12,2005-01-12,1,1,2.00,33.9,11.9,,
"CB",2005,12,2005-01-12,2,1,2.00,37.2,11.9,,
"CB",2005,59,2005-02-28,1,1,0.00,8.8,-1.3,,"K"
"CB",2005,59,2005-02-28,1,1,1.00,11.2,8.1,,
"CB",2005,59,2005-02-28,1,1,2.00,17.1,18.4,,
"CB",2005,59,2005-02-28,2,1,2.00,17.6,15.6,,
"CB",2005,90,2005-03-31,1,1,0.00,34.0,7.5,,"L"
"CB",2005,90,2005-03-31,2,1,0.00,36.1,3.8,,"L"
"CB",2005,90,2005-03-31,1,1,1.00,48.5,-15.3,,"K"
"CB",2005,90,2005-03-31,1,1,2.00,74.4,-26.5,,"K"
"CB",2005,108,2005-04-18,1,1,0.00,14.0,2.5,,
"CB",2005,108,2005-04-18,1,1,1.00,17.6,2.9,,
"CB",2005,108,2005-04-18,1,1,2.00,21.6,5.1,"L","L"
"CB",2005,108,2005-04-18,2,1,2.00,13.6,2.4,"L","L"
"CB",2005,124,2005-05-04,1,1,0.00,11.7,3.0,,"L"
"CB",2005,124,2005-05-04,2,1,0.00,13.2,-0.7,,"L"
"CB",2005,124,2005-05-04,1,1,1.00,18.3,2.2,,
"CB",2005,124,2005-05-04,1,1,2.00,10.3,3.9,,
"CB",2005,137,2005-05-17,1,1,0.00,12.2,3.9,,
"CB",2005,137,2005-05-17,1,1,1.00,25.7,-1.4,,"K"
"CB",2005,137,2005-05-17,1,1,2.00,17.8,5.3,,"L"
"CB",2005,137,2005-05-17,2,1,2.00,21.2,-0.3,,"L"
"CB",2005,153,2005-06-02,1,1,0.00,2.0,1.4,,
"CB",2005,153,2005-06-02,2,1,0.00,2.9,1.4,,
"CB",2005,153,2005-06-02,1,1,1.00,10.3,6.7,,
"CB",2005,153,2005-06-02,1,1,2.00,13.2,19.5,,
"CB",2005,166,2005-06-15,1,1,0.00,3.4,2.3,,
"CB",2005,166,2005-06-15,1,1,1.00,17.2,1.7,,
"CB",2005,166,2005-06-15,1,1,2.00,34.1,16.7,,
"CB",2005,166,2005-06-15,2,1,2.00,32.5,16.7,,
"CB",2005,180,2005-06-29,1,1,0.00,11.6,2.3,"L",
"CB",2005,180,2005-06-29,2,1,0.00,15.2,1.4,"L",
"CB",2005,180,2005-06-29,1,1,1.00,30.0,1.2,,
"CB",2005,180,2005-06-29,1,1,2.00,42.0,14.9,,
"CB",2005,194,2005-07-13,1,1,0.00,5.1,1.0,,
"CB",2005,194,2005-07-13,1,1,1.00,39.2,4.0,,
"CB",2005,194,2005-07-13,1,1,2.00,17.7,11.8,"L",
"CB",2005,194,2005-07-13,2,1,2.00,11.5,9.9,"L",
"CB",2005,208,2005-07-27,1,1,0.00,33.4,12.8,,
"CB",2005,208,2005-07-27,1,1,1.00,24.9,8.3,,
"CB",2005,208,2005-07-27,1,1,2.00,690.2,4.0,"L","L"
"CB",2005,208,2005-07-27,2,1,2.00,502.7,-22.9,"L","KL"
"CB",2005,221,2005-08-09,1,1,0.00,18.0,2.0,"L","L"
"CB",2005,221,2005-08-09,2,1,0.00,23.2,0.9,"L","L"
"CB",2005,221,2005-08-09,1,1,1.00,20.6,2.5,,
"CB",2005,221,2005-08-09,1,1,2.00,233.8,6.7,,
"CB",2005,234,2005-08-22,1,1,0.00,37.4,-0.6,,
"CB",2005,234,2005-08-22,1,1,1.00,46.2,0.6,,
"CB",2005,234,2005-08-22,2,1,1.00,43.3,0.6,,
"CB",2005,234,2005-08-22,1,1,2.00,626.1,-38.6,,"K"
"CB",2005,250,2005-09-07,1,1,0.00,6.2,2.8,"L","L"
"CB",2005,250,2005-09-07,2,1,0.00,4.3,6.8,"L","L"
"CB",2005,250,2005-09-07,1,1,1.00,13.2,14.4,,
"CB",2005,250,2005-09-07,1,1,2.00,100.6,107.3,,
"CB",2005,263,2005-09-20,1,1,0.00,2.3,2.2,,
"CB",2005,263,2005-09-20,1,1,1.00,25.0,-6.7,"LO","KLO"
"CB",2005,263,2005-09-20,2,1,1.00,20.0,-0.3,"L","L"
"CB",2005,263,2005-09-20,1,1,2.00,26.1,-9.2,,"K"
"CB",2005,279,2005-10-06,1,1,0.00,20.6,-1.9,,"KL"
"CB",2005,279,2005-10-06,2,1,0.00,17.4,2.9,,"L"
"CB",2005,279,2005-10-06,1,1,1.00,20.2,-4.3,,"K"
"CB",2005,279,2005-10-06,1,1,2.00,3.3,2.6,,
"CB",2005,292,2005-10-19,1,1,0.00,23.1,2.1,,"L"
"CB",2005,292,2005-10-19,2,1,0.00,19.4,-5.3,,"KL"
"CB",2005,292,2005-10-19,1,1,1.00,26.0,-1.3,,"K"
"CB",2005,292,2005-10-19,1,1,2.00,16.1,7.6,,
"CB",2005,312,2005-11-08,1,1,0.00,50.1,5.2,,
"CB",2005,312,2005-11-08,1,1,1.00,42.3,4.0,,
"CB",2005,312,2005-11-08,1,1,2.00,20.6,1.7,,"L"
"CB",2005,312,2005-11-08,2,1,2.00,23.7,5.3,,"L"
"CB",2006,12,2006-01-12,1,1,0.00,169.6,-19.3,,
"CB",2006,12,2006-01-12,1,1,1.00,9.2,1.2,,
"CB",2006,12,2006-01-12,1,1,2.00,5.0,9.1,"L",
"CB",2006,12,2006-01-12,2,1,2.00,3.9,10.9,"L",
"CB",2006,54,2006-02-23,1,1,0.00,8.7,4.1,,
"CB",2006,54,2006-02-23,1,1,1.00,8.5,3.8,,
"CB",2006,54,2006-02-23,1,1,2.00,9.8,10.6,,
"CB",2006,54,2006-02-23,2,1,2.00,12.4,8.0,,
"CB",2006,86,2006-03-27,1,1,0.00,14.9,4.0,"L","L"
"CB",2006,86,2006-03-27,2,1,0.00,19.5,-3.4,"L","KL"
"CB",2006,86,2006-03-27,1,1,1.00,9.8,4.6,,
"CB",2006,86,2006-03-27,1,1,2.00,34.9,11.7,,
"CB",2006,108,2006-04-18,1,1,0.00,7.4,-1.2,"J","JK"
"CB",2006,108,2006-04-18,2,1,0.00,6.6,-1.3,"J","JK"
"CB",2006,108,2006-04-18,1,1,1.00,15.9,1.8,"J","J"
"CB",2006,108,2006-04-18,1,1,2.00,82.9,-42.9,,
"CB",2006,123,2006-05-03,1,1,0.00,7.1,2.5,,
"CB",2006,123,2006-05-03,1,1,1.00,13.7,-0.9,,
"CB",2006,123,2006-05-03,1,1,2.00,74.8,-26.0,,"K"
"CB",2006,123,2006-05-03,2,1,2.00,64.1,-20.3,,"K"
"CB",2006,137,2006-05-17,1,1,0.00,3.2,2.2,,
"CB",2006,137,2006-05-17,1,1,1.00,5.6,32.6,,
"CB",2006,137,2006-05-17,1,1,2.00,11.3,11.3,"LO","LO"
"CB",2006,137,2006-05-17,2,1,2.00,17.0,5.7,"LO","LO"
"CB",2006,152,2006-06-01,1,1,0.00,14.5,-1.5,,"K"
"CB",2006,152,2006-06-01,1,1,1.00,23.0,3.4,,
"CB",2006,152,2006-06-01,1,1,2.00,67.2,5.8,"L","L"
"CB",2006,152,2006-06-01,2,1,2.00,249.3,-53.0,"L","KL"
"CB",2006,164,2006-06-13,1,1,0.00,97.5,-7.9,"L","KL"
"CB",2006,164,2006-06-13,2,1,0.00,4.9,0.6,"L","L"
"CB",2006,164,2006-06-13,1,1,1.00,90.1,-16.5,,"K"
"CB",2006,164,2006-06-13,1,1,2.00,167.0,-9.6,,"K"
"CB",2006,179,2006-06-28,1,1,0.00,27.8,-1.3,,"K"
"CB",2006,179,2006-06-28,1,1,1.00,49.1,-4.6,,"LK"
"CB",2006,179,2006-06-28,2,1,1.00,53.2,-9.8,,"LK"
"CB",2006,179,2006-06-28,1,1,2.00,179.3,-37.8,,"K"
"CB",2006,193,2006-07-12,1,1,0.00,7.4,0.7,"L",
"CB",2006,193,2006-07-12,2,1,0.00,3.9,0.8,"L",
"CB",2006,193,2006-07-12,1,1,1.00,23.8,5.9,,
"CB",2006,193,2006-07-12,1,1,2.00,167.1,9.8,,
"CB",2006,207,2006-07-26,1,1,0.00,25.8,1.0,,
"CB",2006,207,2006-07-26,1,1,1.00,25.4,-0.3,"L","L"
"CB",2006,207,2006-07-26,2,1,1.00,18.9,4.1,"L","L"
"CB",2006,207,2006-07-26,1,1,2.00,362.9,1.1,,
"CB",2006,219,2006-08-07,1,1,0.00,8.2,2.1,,
"CB",2006,219,2006-08-07,2,1,0.00,6.7,2.0,,
"CB",2006,219,2006-08-07,1,1,1.00,37.8,-0.6,,
"CB",2006,219,2006-08-07,1,1,2.00,550.6,-119.0,,"K"
"CB",2006,234,2006-08-22,1,1,0.00,32.2,4.8,,
"CB",2006,234,2006-08-22,1,1,1.00,36.7,0.7,,
"CB",2006,234,2006-08-22,1,1,2.00,237.0,-62.3,"L","KL"
"CB",2006,234,2006-08-22,2,1,2.00,146.1,29.5,"L","L"
"CB",2006,250,2006-09-07,1,1,0.00,4.7,1.7,"L","L"
"CB",2006,250,2006-09-07,2,1,0.00,7.5,0.1,"L","L"
"CB",2006,250,2006-09-07,1,1,1.00,12.2,-1.0,,"K"
"CB",2006,250,2006-09-07,1,1,2.00,254.7,-16.1,,"K"
"CB",2006,261,2006-09-18,1,1,1.00,17.5,4.8,,
"CB",2006,261,2006-09-18,2,1,1.00,15.9,2.4,,
"CB",2006,261,2006-09-18,1,1,2.00,2.1,1.4,,
"CB",2006,276,2006-10-03,1,1,0.00,6.8,1.6,"L","L"
"CB",2006,276,2006-10-03,2,1,0.00,8.8,-0.4,"L","L"
"CB",2006,276,2006-10-03,1,1,1.00,6.0,1.4,,
"CB",2006,276,2006-10-03,1,1,2.00,6.2,1.9,,
"CB",2006,291,2006-10-18,1,1,0.00,4.4,2.8,,
"CB",2006,291,2006-10-18,2,1,0.00,5.7,1.2,,
"CB",2006,291,2006-10-18,1,1,1.00,3.0,4.6,,
"CB",2006,291,2006-10-18,1,1,2.00,2.5,3.6,,
"CB",2006,299,2006-10-26,1,1,0.00,5.0,3.3,,
"CB",2006,299,2006-10-26,2,1,0.00,4.2,2.9,,
"CB",2006,299,2006-10-26,1,1,1.00,4.9,1.6,,
"CB",2006,299,2006-10-26,1,1,2.00,3.8,4.2,,
"CB",2007,22,2007-01-22,1,1,0.00,108.7,15.0,,
"CB",2007,22,2007-01-22,1,1,1.00,18.2,10.2,,
"CB",2007,22,2007-01-22,1,1,2.00,47.3,6.4,"L","L"
"CB",2007,22,2007-01-22,2,1,2.00,31.9,9.5,"L","L"
"CB",2007,52,2007-02-21,1,1,0.00,40.2,8.3,,
"CB",2007,52,2007-02-21,1,1,1.00,69.7,14.2,,
"CB",2007,52,2007-02-21,1,1,2.00,32.0,6.2,,"L"
"CB",2007,52,2007-02-21,2,1,2.00,38.6,2.1,,"L"
"CB",2007,113,2007-04-23,1,1,0.00,19.3,-0.1,"L","L"
"CB",2007,113,2007-04-23,2,1,0.00,12.2,4.2,"L","L"
"CB",2007,113,2007-04-23,1,1,1.00,58.1,-13.5,,"K"
"CB",2007,113,2007-04-23,1,1,2.00,19.5,8.2,,
"CB",2007,128,2007-05-08,1,1,0.00,8.6,3.1,,
"CB",2007,128,2007-05-08,2,1,0.00,7.9,3.6,,
"CB",2007,128,2007-05-08,1,1,1.00,8.2,4.6,,
"CB",2007,128,2007-05-08,1,1,2.00,12.9,12.8,,
"CB",2007,143,2007-05-23,1,1,0.00,3.0,0.7,,
"CB",2007,143,2007-05-23,2,1,0.00,2.8,1.0,,
"CB",2007,143,2007-05-23,1,1,1.00,13.1,-1.0,,
"CB",2007,143,2007-05-23,1,1,2.00,16.0,14.3,,
"CB",2007,156,2007-06-05,1,1,0.00,3.4,1.9,,
"CB",2007,156,2007-06-05,1,1,1.00,9.8,3.5,"L","L"
"CB",2007,156,2007-06-05,2,1,1.00,6.5,1.3,"L","L"
"CB",2007,156,2007-06-05,1,1,2.00,8.8,1.7,,
"CB",2007,169,2007-06-18,1,1,0.00,4.4,0.4,,
"CB",2007,169,2007-06-18,1,1,1.00,15.4,1.5,,
"CB",2007,169,2007-06-18,1,1,2.00,6.5,1.9,"LO","LO"
"CB",2007,169,2007-06-18,2,1,2.00,1.4,7.8,"LO","LO"
"CB",2007,184,2007-07-03,1,1,0.00,9.1,-1.0,"J","JK"
"CB",2007,184,2007-07-03,2,1,0.00,3.3,2.4,"J","J"
"CB",2007,184,2007-07-03,1,1,1.00,20.4,6.0,"J","J"
"CB",2007,184,2007-07-03,1,1,2.00,97.3,8.8,"J","J"
"CB",2007,199,2007-07-18,1,1,0.00,24.4,-2.9,"L","KL"
"CB",2007,199,2007-07-18,2,1,0.00,13.2,4.7,"L","L"
"CB",2007,199,2007-07-18,1,1,1.00,7.7,4.7,,
"CB",2007,199,2007-07-18,1,1,2.00,10.7,10.3,,
"CB",2007,212,2007-07-31,1,1,0.00,1.2,1.8,,
"CB",2007,212,2007-07-31,1,1,1.00,4.8,1.9,"L",
"CB",2007,212,2007-07-31,2,1,1.00,7.6,1.7,"L",
"CB",2007,212,2007-07-31,1,1,2.00,88.0,28.9,,
"CB",2007,226,2007-08-14,1,1,0.00,9.6,1.2,"L",
"CB",2007,226,2007-08-14,2,1,0.00,7.4,1.8,"L",
"CB",2007,226,2007-08-14,1,1,1.00,13.0,3.7,,
"CB",2007,226,2007-08-14,1,1,2.00,50.8,25.0,,
"CB",2007,240,2007-08-28,1,1,0.00,3.2,0.7,,
"CB",2007,240,2007-08-28,1,1,1.00,32.6,-8.4,,"K"
"CB",2007,240,2007-08-28,1,1,2.00,48.1,-7.7,,"KL"
"CB",2007,240,2007-08-28,2,1,2.00,54.0,-3.3,,"KL"
"CB",2007,253,2007-09-10,1,1,0.00,21.6,7.1,,"L"
"CB",2007,253,2007-09-10,2,1,0.00,25.1,1.4,,"L"
"CB",2007,253,2007-09-10,1,1,1.00,34.1,-5.4,,"K"
"CB",2007,253,2007-09-10,1,1,2.00,8.3,2.4,,
"CB",2007,269,2007-09-26,1,1,0.00,8.5,4.0,,
"CB",2007,269,2007-09-26,2,1,0.00,8.8,2.4,,
"CB",2007,269,2007-09-26,1,1,1.00,27.4,5.1,,
"CB",2007,269,2007-09-26,1,1,2.00,4.0,11.1,,
"CB",2007,283,2007-10-10,1,1,0.00,11.0,7.7,,
"CB",2007,283,2007-10-10,2,1,0.00,12.7,9.3,,
"CB",2007,283,2007-10-10,1,1,1.00,21.9,-2.0,,"K"
"CB",2007,283,2007-10-10,1,1,2.00,16.8,4.3,,
"CB",2007,296,2007-10-23,1,1,0.00,44.7,4.5,,
"CB",2007,296,2007-10-23,1,1,1.00,57.2,-8.8,"L","KL"
"CB",2007,296,2007-10-23,2,1,1.00,47.8,2.8,"L","L"
"CB",2007,296,2007-10-23,1,1,2.00,36.1,2.9,,
"CB",2007,312,2007-11-08,1,1,0.00,36.4,9.3,"G","G"
"CB",2007,312,2007-11-08,1,1,1.00,43.6,7.2,"G","G"
"CB",2007,312,2007-11-08,1,1,2.00,48.0,13.3,"G","GL"
"CB",2007,312,2007-11-08,2,1,2.00,47.0,9.7,"G","GL"
"CB",2008,28,2008-01-28,1,1,0.00,8.0,12.8,"GL","GL"
"CB",2008,28,2008-01-28,2,1,0.00,13.1,9.2,"GL","GL"
"CB",2008,28,2008-01-28,1,1,1.00,4.4,13.9,"G","G"
"CB",2008,28,2008-01-28,1,1,2.00,5.0,18.0,"G","G"
"CB",2008,56,2008-02-25,1,1,0.00,21.3,5.4,,
"CB",2008,56,2008-02-25,1,1,1.00,5.3,10.6,,
"CB",2008,56,2008-02-25,1,1,2.00,8.8,17.6,"L",
"CB",2008,56,2008-02-25,2,1,2.00,5.8,20.9,"L",
"CB",2008,84,2008-03-24,1,1,0.00,17.1,8.5,"L","L"
"CB",2008,84,2008-03-24,2,1,0.00,21.8,1.7,"L","L"
"CB",2008,84,2008-03-24,1,1,1.00,21.0,13.2,,
"CB",2008,84,2008-03-24,1,1,2.00,22.7,19.2,,
"CB",2008,127,2008-05-06,1,1,0.00,11.7,5.6,,
"CB",2008,127,2008-05-06,2,1,0.00,13.0,6.9,,
"CB",2008,127,2008-05-06,1,1,1.00,25.8,12.0,,
"CB",2008,127,2008-05-06,1,1,2.00,8.5,10.3,,
"CB",2008,141,2008-05-20,1,1,0.00,8.4,10.9,"L","L"
"CB",2008,141,2008-05-20,2,1,0.00,11.1,8.5,"L","L"
"CB",2008,141,2008-05-20,1,1,1.00,20.7,16.3,,
"CB",2008,141,2008-05-20,1,1,2.00,23.7,30.0,,
"CB",2008,157,2008-06-05,1,1,0.00,18.7,9.2,,
"CB",2008,157,2008-06-05,1,1,1.00,14.1,-0.6,,
"CB",2008,157,2008-06-05,1,1,2.00,16.3,8.4,,
"CB",2008,172,2008-06-20,1,1,0.00,29.6,-21.4,,"K"
"CB",2008,172,2008-06-20,1,1,1.00,10.1,10.0,,
"CB",2008,172,2008-06-20,1,1,2.00,146.2,20.4,"KL","L"
"CB",2008,172,2008-06-20,2,1,2.00,21.8,4.5,"L","L"
"CB",2008,184,2008-07-02,1,1,0.00,19.5,0.6,,
"CB",2008,184,2008-07-02,1,1,1.00,23.5,2.0,,
"CB",2008,184,2008-07-02,1,1,2.00,133.9,1.2,"L","L"
"CB",2008,184,2008-07-02,2,1,2.00,154.1,113.5,"L","L"
"CB",2008,211,2008-07-29,1,1,0.00,7.2,2.8,"L","L"
"CB",2008,211,2008-07-29,2,1,0.00,9.7,5.1,"L","L"
"CB",2008,211,2008-07-29,1,1,1.00,22.5,5.1,,
"CB",2008,211,2008-07-29,1,1,2.00,257.3,13.5,,
"CB",2008,228,2008-08-15,1,1,0.00,4.6,2.3,,
"CB",2008,228,2008-08-15,1,1,1.00,4.9,3.6,,
"CB",2008,228,2008-08-15,2,1,1.00,4.5,3.0,,
"CB",2008,228,2008-08-15,1,1,2.00,424.1,42.0,"L",
"CB",2008,228,2008-08-15,2,1,2.00,648.3,42.1,"L",
"CB",2008,240,2008-08-27,1,1,0.00,10.8,1.4,,"L"
"CB",2008,240,2008-08-27,2,1,0.00,10.0,7.0,,"L"
"CB",2008,240,2008-08-27,1,1,1.00,7.4,5.0,,
"CB",2008,240,2008-08-27,1,1,2.00,1121.0,-289.4,,"K"
"CB",2008,253,2008-09-09,1,1,0.00,15.6,4.4,,
"CB",2008,253,2008-09-09,2,1,0.00,14.5,4.6,,
"CB",2008,253,2008-09-09,1,1,1.00,26.1,7.8,,
"CB",2008,253,2008-09-09,1,1,2.00,88.9,12.1,,
"CB",2008,269,2008-09-25,1,1,0.00,18.9,3.6,,
"CB",2008,269,2008-09-25,2,1,0.00,18.9,5.1,,
"CB",2008,269,2008-09-25,1,1,1.00,29.1,-4.5,,"K"
"CB",2008,269,2008-09-25,1,1,2.00,37.4,0.1,,
"CB",2008,281,2008-10-07,1,1,0.00,33.6,15.9,,
"CB",2008,281,2008-10-07,2,1,0.00,36.8,14.8,,
"CB",2008,281,2008-10-07,1,1,1.00,23.7,-2.0,,"K"
"CB",2008,281,2008-10-07,1,1,2.00,8.5,8.1,,
"CB",2008,296,2008-10-22,1,1,0.00,12.1,6.8,,
"CB",2008,296,2008-10-22,2,1,0.00,12.8,6.7,,
"CB",2008,296,2008-10-22,1,1,1.00,21.4,-0.8,,
"CB",2008,296,2008-10-22,1,1,2.00,14.9,4.4,,
"CB",2008,311,2008-11-06,1,1,0.00,19.9,8.1,,
"CB",2008,311,2008-11-06,2,1,0.00,21.4,9.6,,
"CB",2008,311,2008-11-06,1,1,1.00,24.5,9.1,,
"CB",2008,311,2008-11-06,1,1,2.00,10.7,7.6,,
"CB",2009,22,2009-01-22,1,1,0.00,2.8,3.3,,
"CB",2009,22,2009-01-22,2,1,0.00,2.0,4.4,,
"CB",2009,22,2009-01-22,1,1,1.00,8.0,4.5,,
"CB",2009,22,2009-01-22,1,1,2.00,15.0,9.6,,
"CB",2009,48,2009-02-17,1,1,0.00,0.6,3.7,,
"CB",2009,48,2009-02-17,1,1,1.00,29.2,6.8,,
"CB",2009,48,2009-02-17,1,1,2.00,60.4,-14.2,"L","KL"
"CB",2009,48,2009-02-17,2,1,2.00,42.9,12.5,"L","L"
"CB",2009,77,2009-03-18,1,1,0.00,5.4,3.2,,
"CB",2009,77,2009-03-18,1,1,1.00,29.9,6.7,"L","L"
"CB",2009,77,2009-03-18,2,1,1.00,39.1,-6.5,"L","KL"
"CB",2009,77,2009-03-18,1,1,2.00,131.8,-13.6,,"K"
